,ID,Severity,Start_Time,End_Time,Distance(mi),Description,Number,Street,Side,City,State,Zipcode,Country,Timezone,Weather_Timestamp,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Precipitation(in),Weather_Condition
1261,A-5047,2,6/16/2016 17:22,6/16/2016 23:22,0.566,At CA-242/Gregory Ln - Accident.,,I-680 N,R,Pleasant Hill,CA,94523,US,US/Pacific,6/16/2016 16:53,75,34,30,10,,Clear
1262,A-5051,2,6/16/2016 17:54,6/16/2016 23:54,0.881,At I-680 - Accident.,,I-580 E,R,Pleasanton,CA,94588,US,US/Pacific,6/16/2016 17:53,73,42,30,10,,Clear
1263,A-5055,2,6/16/2016 17:58,6/16/2016 23:58,0.657,Between Pinole Valley Rd and CA-4 - Accident.,,I-80 W,R,Pinole,CA,94564,US,US/Pacific,6/16/2016 17:53,72,40,29.99,10,,Clear
1264,A-5059,2,6/16/2016 18:22,6/17/2016 0:22,0.613,At Brokaw Rd - Accident.,,I-880 S,R,San Jose,CA,95131,US,US/Pacific,6/16/2016 17:53,73.9,45,30.01,10,,Scattered Clouds
1265,A-5063,2,6/16/2016 18:34,6/17/2016 0:34,0.078,Between Treasure Island Rd and Bay Brg - Accident.,,I-80 W,R,San Francisco,CA,94130,US,US/Pacific,6/16/2016 18:53,66.9,59,30.05,10,,Scattered Clouds
1266,A-5067,2,6/16/2016 18:50,6/17/2016 0:50,0.614,At Jacklin Rd - Accident.,,I-680 N,R,Milpitas,CA,95035,US,US/Pacific,6/16/2016 18:53,73,48,30.01,10,,Partly Cloudy
1267,A-5071,2,6/16/2016 19:10,6/17/2016 1:10,0.476,At Trousdale Dr - Accident.,,I-280 S,R,Burlingame,CA,94010,US,US/Pacific,6/16/2016 18:56,66.9,54,30.04,10,,Scattered Clouds
1268,A-5075,2,6/16/2016 20:04,6/17/2016 2:04,0.297,At Branham Ln/Camden Ave - Accident.,,CA-85 S,R,San Jose,CA,95124,US,US/Pacific,6/16/2016 19:53,69.1,53,30.03,10,,Partly Cloudy
1269,A-5079,3,6/17/2016 2:07,6/17/2016 8:07,0.371,At Somersville Rd - Accident.,,CA-4 W,R,Antioch,CA,94509,US,US/Pacific,6/17/2016 2:07,62.1,70,30.04,10,,Overcast
1270,A-5083,2,6/17/2016 4:47,6/17/2016 10:47,0.53,At CA-223/Bear Mountain Blvd - Accident.,,I-5 N,R,Bakersfield,CA,93311,US,US/Pacific,6/17/2016 4:54,63,45,30,10,,Clear
1271,A-5087,2,6/17/2016 6:04,6/17/2016 12:04,0.114,At CA-33/S Ahern Rd/W Vernalis Rd - Accident.,998, State Highway 132,R,Tracy,CA,95304,US,US/Pacific,6/17/2016 5:55,57,83,30.04,10,,Clear
1272,A-5091,2,6/17/2016 6:17,6/17/2016 12:17,0.163,At Old Bayshore Hwy - Accident.,,US-101 N,R,San Jose,CA,95112,US,US/Pacific,6/17/2016 5:53,57.9,81,30.05,10,,Scattered Clouds
1273,A-5095,2,6/17/2016 7:06,6/17/2016 13:06,0.468,At Branham Ln/Camden Ave - Accident.,,Norman Y Mineta Hwy,R,San Jose,CA,95118,US,US/Pacific,6/17/2016 6:47,60.8,72,30.08,10,,Clear
1274,A-5099,2,6/17/2016 7:59,6/17/2016 13:59,0.535,At San Antonio Rd/Exit 400B/Exit 400C - Accident.,,US-101 N,R,Palo Alto,CA,94303,US,US/Pacific,6/17/2016 7:47,64.4,68,30.06,10,,Scattered Clouds
1275,A-5103,4,6/17/2016 8:41,6/17/2016 14:41,0.132,Closed at CA-152/Hecker Pass Hwy - Road closed due to accident.,84, Hecker Pass Rd,L,Watsonville,CA,95076-9776,US,US/Pacific,6/17/2016 8:53,64,70,30.1,10,,Clear
1276,A-5107,2,6/17/2016 9:44,6/17/2016 15:44,0,At Fulton Ave - Accident.,,Fulton Ave,R,Sacramento,CA,95821,US,US/Pacific,6/17/2016 9:35,71.6,46,30.07,10,,Clear
1277,A-5111,2,6/17/2016 11:08,6/17/2016 17:08,0,At Blue Lakes Rd - Accident.,6227, Highway 20,R,Ukiah,CA,95482-9254,US,US/Pacific,6/17/2016 10:56,62.1,78,30.05,10,,Mostly Cloudy
1278,A-5115,2,6/17/2016 12:57,6/17/2016 18:57,0.139,At Chalk Hill Rd - Accident. Single alternate lane traffic.,10086, Highway 128,R,Healdsburg,CA,95448-9613,US,US/Pacific,6/17/2016 12:53,63,87,30.07,7,,Overcast
1279,A-5119,2,6/17/2016 13:40,6/17/2016 19:40,0.747,At I-880/CA-17 - Accident.,577, S Bascom Ave,R,San Jose,CA,95128-2212,US,US/Pacific,6/17/2016 13:53,78.1,50,30.06,10,,Mostly Cloudy
1280,A-5123,2,6/17/2016 14:10,6/17/2016 20:10,0.511,At Hacienda Dr - Accident.,,I-580 E,R,Pleasanton,CA,94588,US,US/Pacific,6/17/2016 13:53,72,57,30.06,10,,Overcast
1281,A-5127,2,6/17/2016 14:36,6/17/2016 20:36,0.749,Between Grand Ave (San Leandro) and Estudillo Ave - Accident.,,I-580 W,R,San Leandro,CA,94577,US,US/Pacific,6/17/2016 14:53,68,68,30.08,10,,Overcast
1282,A-5131,2,6/17/2016 15:17,6/17/2016 21:17,0.516,At Shields Ave - Accident.,,CA-41 S,R,Fresno,CA,93726,US,US/Pacific,6/17/2016 14:53,84,23,30.01,10,,Partly Cloudy
1283,A-5135,2,6/17/2016 15:09,6/17/2016 21:09,1.009,Between I-205 and CA-120 - Accident.,,I-5 N,R,Lathrop,CA,95330,US,US/Pacific,6/17/2016 14:55,84,33,30.01,10,,Mostly Cloudy
1284,A-5139,2,6/17/2016 15:55,6/17/2016 21:55,0.648,Between 16th St and Franklin Rd - Accident.,1996, W 16th St,R,Merced,CA,95348,US,US/Pacific,6/17/2016 15:53,84.9,26,29.98,10,,Clear
1285,A-5143,2,6/17/2016 16:10,6/17/2016 22:10,0.588,At First St - Accident.,,Southbay Fwy,R,San Jose,CA,95134,US,US/Pacific,6/17/2016 15:53,77,50,30.03,10,,Mostly Cloudy
1286,A-5147,2,6/17/2016 16:18,6/17/2016 22:18,0.031,At Yosemite Ave/CA-120/CR-J14/CR-J9 - Accident.,347, E F St,R,Oakdale,CA,95361-3901,US,US/Pacific,6/17/2016 15:53,86,26,29.98,10,,Clear
1287,A-5151,2,6/17/2016 16:34,6/17/2016 22:34,0.514,At Livermore Ave - Accident.,,I-580 E,R,Livermore,CA,94551,US,US/Pacific,6/17/2016 16:53,72,53,30.03,10,,Overcast
1288,A-5155,2,6/17/2016 16:44,6/17/2016 22:44,0.99,Between Auburn Blvd/Riverside Ave and Douglas Blvd - Accident.,,I-80 E,R,Citrus Heights,CA,95621,US,US/Pacific,6/17/2016 16:35,75.2,44,30.03,10,,Partly Cloudy
1289,A-5159,2,6/17/2016 17:14,6/17/2016 23:14,0.373,At CA-84/Marsh Rd/Exit 406 - Accident.,,Bayshore Fwy S,R,Redwood City,CA,94063,US,US/Pacific,6/17/2016 16:47,66.2,73,30.06,10,,Mostly Cloudy
1290,A-5163,2,6/17/2016 17:23,6/17/2016 23:23,0.725,Between Solano/Yolo County Line and Richards Blvd - Accident.,,I-80 E,R,Davis,CA,95616,US,US/Pacific,6/17/2016 17:15,73.4,44,30.03,10,,Mostly Cloudy
1291,A-5167,2,6/17/2016 17:30,6/17/2016 23:30,0.259,At Oak St - Accident.,,Nimitz Fwy S,R,Oakland,CA,94607,US,US/Pacific,6/17/2016 17:53,64.9,68,30.06,10,,Mostly Cloudy
1292,A-5171,2,6/17/2016 18:20,6/18/2016 0:20,0.818,At CA-24 (Orinda) - Accident.,,Grove Shafter Fwy E,R,Oakland,CA,94618,US,US/Pacific,6/17/2016 17:53,64.9,68,30.06,10,,Mostly Cloudy
1293,A-5175,2,6/17/2016 18:46,6/18/2016 0:46,0.731,Between Meridian Ave and Race St/Southwest Expy - Accident.,,I-280 S,R,San Jose,CA,95128,US,US/Pacific,6/17/2016 18:53,66.9,68,30.04,10,,Mostly Cloudy
1294,A-5179,2,6/17/2016 20:43,6/18/2016 2:43,0.829,At El Portal Dr - Accident.,,I-80 E,R,San Pablo,CA,94806,US,US/Pacific,6/17/2016 20:53,66.9,51,30.01,10,0,Partly Cloudy
1295,A-5183,3,6/18/2016 22:19,6/19/2016 4:19,0.752,Between Oregon Expy/Exit 402 and Embarcadero Rd/Exit 402 - Accident.,,US-101 N,R,Palo Alto,CA,94303,US,US/Pacific,6/18/2016 20:47,68,56,30.09,10,,Clear
1296,A-5187,2,6/19/2016 17:06,6/19/2016 23:06,0.18,At CA-113 South - Accident.,,CA-16 E,R,Woodland,CA,95776,US,US/Pacific,6/19/2016 16:53,90,23,29.97,10,,Scattered Clouds
1297,A-5191,3,6/19/2016 23:58,6/20/2016 5:58,2.443,At Sycamore Valley Rd - Accident.,,I-680 N,R,San Ramon,CA,94583,US,US/Pacific,6/19/2016 23:53,64,54,30.02,10,,Clear
1298,A-5195,3,6/20/2016 5:14,6/20/2016 11:14,0.296,At Vargas Rd - Accident.,,I-680 S,R,Fremont,CA,94539,US,US/Pacific,6/20/2016 4:56,60.1,75,30.05,10,,Clear
1299,A-5199,2,6/20/2016 7:12,6/20/2016 13:12,0.191,At Lopes Rd - Accident. Left lane blocked.,,I-80 W,R,Fairfield,CA,94534,US,US/Pacific,6/20/2016 6:54,53.1,86,30.03,10,,Clear
1300,A-5203,2,6/20/2016 8:01,6/20/2016 14:01,0.707,At CA-24/Olympic Blvd - Accident. Left lane blocked.,,I-680 S,R,Walnut Creek,CA,94597,US,US/Pacific,6/20/2016 7:53,66,43,30.02,10,,Clear
1301,A-5207,2,6/20/2016 8:34,6/20/2016 14:34,0.235,At Fruitridge Rd - Accident.,,Fruitridge Rd,R,Sacramento,CA,95824,US,US/Pacific,6/20/2016 8:53,73,42,30.04,10,,Clear
1302,A-5211,2,6/20/2016 10:01,6/20/2016 16:01,0.679,At Montague Expy/San Tomas Expy - Accident. Left lane blocked.,,US-101 N,R,Santa Clara,CA,95054,US,US/Pacific,6/20/2016 9:53,71.1,49,30.07,10,,Partly Cloudy
1303,A-5215,2,6/20/2016 10:54,6/20/2016 16:54,0.355,At Alameda De Las Pulgas - Accident. Left lane blocked.,,J Arthur Younger Fwy W,R,San Mateo,CA,94403,US,US/Pacific,6/20/2016 10:58,71.6,53,30.09,10,,Partly Cloudy
1304,A-5219,2,6/20/2016 13:38,6/20/2016 19:38,0.531,At Stevenson Blvd - Accident.,,Nimitz Fwy S,R,Newark,CA,94560,US,US/Pacific,6/20/2016 13:47,77,54,30.06,10,,Clear
1305,A-5223,2,6/20/2016 14:09,6/20/2016 20:09,0.407,At Filbert St - Accident.,,Ort J Lofthus Fwy E,R,Stockton,CA,95205,US,US/Pacific,6/20/2016 13:55,91.9,15,30.01,10,,Clear
1306,A-5227,2,6/20/2016 14:13,6/20/2016 20:13,0.505,Between Moffett Blvd and CA-85 North - Accident.,,US-101 N,R,Mountain View,CA,94043,US,US/Pacific,6/20/2016 13:56,80.1,31,30.08,10,,Clear
1307,A-5231,2,6/20/2016 14:39,6/20/2016 20:39,0.6,Between Tennyson Rd and CA-92/Jackson St - Accident.,,I-880 N,R,Hayward,CA,94544,US,US/Pacific,6/20/2016 14:54,75,43,30.09,10,,Clear
1308,A-5235,2,3/22/2016 19:43,3/23/2016 1:43,0.324,At Carmenita Rd/Exit 119 - Accident.,,I-5 N,R,Santa Fe Springs,CA,90670,US,US/Pacific,3/22/2016 19:53,63,50,29.97,10,,Clear
1309,A-5239,2,3/22/2016 20:59,3/23/2016 2:59,0.099,At Century Blvd - Accident.,,I-110 S,R,Los Angeles,CA,90003,US,US/Pacific,3/22/2016 20:53,64,23,30.02,10,,Clear
1310,A-5243,4,3/23/2016 3:55,3/23/2016 9:55,2.74,Closed between I-5 and Irvine Blvd - Road closed due to accident.,,CA-133 N,R,Irvine,CA,92618,US,US/Pacific,3/23/2016 3:53,53.1,69,30.05,10,,Clear
1311,A-5247,3,3/23/2016 5:54,3/23/2016 11:54,0.204,At Avalon Blvd/Exit 35 - Accident.,,I-405 N,R,Carson,CA,90746,US,US/Pacific,3/23/2016 5:53,53.1,57,30.08,10,,Clear
1312,A-5251,2,3/23/2016 7:28,3/23/2016 13:28,0.136,At Hayvenhurst Ave - Accident.,,US-101 S,R,Encino,CA,91436,US,US/Pacific,3/23/2016 7:51,55.9,33,30.12,10,,Clear
1313,A-5255,2,3/23/2016 8:10,3/23/2016 14:10,0.176,At I-605 - Accident. Carpool lane blocked.,,I-105 E,R,Downey,CA,90242,US,US/Pacific,3/23/2016 7:53,53.1,69,30.12,10,,Clear
1314,A-5259,2,3/23/2016 8:42,3/23/2016 14:42,0.395,At Carson St - Accident.,,I-110 S,R,Carson,CA,90745,US,US/Pacific,3/23/2016 8:47,64.4,40,30.15,10,,Clear
1315,A-5263,2,3/23/2016 9:27,3/23/2016 15:27,0.059,At Pass Ave - Accident.,,CA-134 E,R,Burbank,CA,91505,US,US/Pacific,3/23/2016 9:10,62.6,22,30.13,10,,Clear
1316,A-5267,2,3/23/2016 10:10,3/23/2016 16:10,0.374,At I-605 - Accident.,,Pomona Fwy E,R,Whittier,CA,90601,US,US/Pacific,3/23/2016 9:54,64.4,34,30.18,10,,Clear
1317,A-5271,2,3/23/2016 11:17,3/23/2016 17:17,0.26,At Ave Magdalena/Ave Calafia/Exit 73 - Accident. Left lane blocked.,,I-5 N,R,San Clemente,CA,92672,US,US/Pacific,3/23/2016 10:56,,,30.15,,,
1318,A-5275,3,3/23/2016 12:18,3/23/2016 18:18,0.287,At Covina Blvd/Exit 24A - Accident.,,CA-57 N,R,San Dimas,CA,91773,US,US/Pacific,3/23/2016 12:47,69.8,20,30.19,10,,Clear
1319,A-5279,2,3/23/2016 13:24,3/23/2016 19:24,0,At I-10/7th St/Exit 1D - Accident.,,US-101 N,R,Los Angeles,CA,90033,US,US/Pacific,3/23/2016 13:47,75,18,30.13,10,,Clear
1320,A-5283,2,3/23/2016 13:31,3/23/2016 19:31,0.038,At Columbia Ave - Accident.,,I-215 S,R,Riverside,CA,92501,US,US/Pacific,3/23/2016 13:53,75,9,30.1,10,,Clear
1321,A-5287,2,3/23/2016 13:55,3/23/2016 19:55,0.169,At Mateo St/Santa Fe Ave/Exit 16A - Accident.,,I-10 W,R,Los Angeles,CA,90021,US,US/Pacific,3/23/2016 13:47,75,18,30.13,10,,Clear
1322,A-5291,3,3/23/2016 14:35,3/23/2016 20:35,0,At Atlantic Ave/Exit 30A - Accident.,,I-405 N,R,Long Beach,CA,90807,US,US/Pacific,3/23/2016 14:53,80.1,9,30.12,10,,Clear
1323,A-5295,2,3/23/2016 14:48,3/23/2016 20:48,0.295,Ramp to CA-60 - Accident.,,Pomona Fwy W,R,Los Angeles,CA,90023,US,US/Pacific,3/23/2016 14:47,73.9,19,30.12,10,,Clear
1324,A-5299,2,3/23/2016 14:52,3/23/2016 20:52,0.401,At Palomar Airport Rd/Exit 47 - Accident.,,I-5 N,R,Carlsbad,CA,92011,US,US/Pacific,3/23/2016 14:53,69.1,44,30.11,10,,Clear
1325,A-5303,2,3/23/2016 14:57,3/23/2016 20:57,1.857,Between Rancho Santa Fe Rd and San Marcos Blvd - Accident.,,CA-78 E,R,San Marcos,CA,92069,US,US/Pacific,3/23/2016 14:53,69.1,44,30.11,10,,Clear
1326,A-5307,2,3/23/2016 15:07,3/23/2016 21:07,0.326,At CA-73/SJH Toll Rd/Exit 85A - Accident.,,San Diego Fwy S,R,Mission Viejo,CA,92692,US,US/Pacific,3/23/2016 14:53,73.9,19,30.12,10,,Partly Cloudy
1327,A-5311,2,3/23/2016 15:17,3/23/2016 21:17,0.545,At CA-134/CA-170/Tujunga Ave - Accident.,11194, Moorpark St,L,North Hollywood,CA,91602-2120,US,US/Pacific,3/23/2016 14:53,73.9,15,30.08,10,,Clear
1328,A-5315,2,3/23/2016 15:36,3/23/2016 21:36,1.305,Between Pass Ave and Buena Vista St/Riverside Dr - Accident.,,CA-134 E,R,Burbank,CA,91505,US,US/Pacific,3/23/2016 15:53,73.9,18,30.08,10,,Clear
1329,A-5319,2,3/23/2016 16:10,3/23/2016 22:10,0.061,At Winchester Rd - Accident.,33671, State Highway 74,R,Hemet,CA,92545,US,US/Pacific,3/23/2016 16:15,75.2,8,30.11,10,,Clear
1330,A-5323,2,3/23/2016 16:21,3/23/2016 22:21,0.941,Between Glenoaks Blvd and San Fernando Rd - Accident.,,Glenoaks Blvd,R,Pacoima,CA,91331,US,US/Pacific,3/23/2016 16:47,73.4,16,30.14,15,,Clear
1331,A-5327,3,3/23/2016 17:05,3/23/2016 23:05,0.003,At CA-54/Exit 9 - Accident.,,National City Blvd,R,National City,CA,91950,US,US/Pacific,3/23/2016 16:56,68,59,30.1,10,,Partly Cloudy
1332,A-5331,2,3/23/2016 17:30,3/23/2016 23:30,0.393,Between Baldwin Ave/Exit 27 and Temple City Blvd/Exit 28 - Accident.,,I-10 W,R,El Monte,CA,91731,US,US/Pacific,3/23/2016 16:45,75.2,17,30.12,10,,Clear
1333,A-5335,3,3/23/2016 17:49,3/23/2016 23:49,2.224,Between Haven Ave and Vineyard Ave - Accident.,,Pomona Fwy W,R,Ontario,CA,91761,US,US/Pacific,3/23/2016 17:53,75.9,10,30.07,10,,Scattered Clouds
1334,A-5339,2,3/23/2016 18:18,3/24/2016 0:18,0.16,At I-10 - Accident.,,I-5 N,R,Los Angeles,CA,90033,US,US/Pacific,3/23/2016 18:47,68,33,30.1,10,,Clear
1335,A-5343,2,3/23/2016 18:35,3/24/2016 0:45,1.273,Between Washington Blvd and Beverly Blvd - Accident.,,San Gabriel River Fwy N,R,Whittier,CA,90606,US,US/Pacific,3/23/2016 18:46,71.6,19,30.12,10,,Clear
1336,A-5347,2,3/23/2016 19:19,3/24/2016 1:19,0.532,Ramp to Ventura Blvd/Exit 63A - Accident.,15357, Camarillo St,R,Sherman Oaks,CA,91403-1902,US,US/Pacific,3/23/2016 18:51,71.1,16,30.09,10,,Clear
1337,A-5351,2,3/23/2016 19:48,3/24/2016 1:48,0.365,At Hollywood Blvd/Exit 8B - Accident.,,Hollywood Fwy S,R,Los Angeles,CA,90028,US,US/Pacific,3/23/2016 19:47,64.9,42,30.1,10,,Clear
1338,A-5355,4,3/23/2016 22:58,3/24/2016 4:58,1.945,Closed between Roscoe Blvd and Sherman Way - Road closed due to accident.,,CA-170 S,R,Sun Valley,CA,91352,US,US/Pacific,3/23/2016 22:53,61,26,30.11,10,,Clear
1339,A-5359,2,3/24/2016 3:08,3/24/2016 9:08,0.81,At I-805 - Accident.,,CA-52 E,R,San Diego,CA,92117,US,US/Pacific,3/24/2016 2:53,54,49,30.09,10,,Clear
1340,A-5363,4,3/24/2016 4:02,3/24/2016 10:02,0.09,Closed between Brookhurst Rd and Pacific Dr - Road closed due to accident.,1767, W Orangethorpe Ave,L,Fullerton,CA,92833-4537,US,US/Pacific,3/24/2016 3:53,51.1,56,30.08,10,,Clear
1341,A-5367,2,3/24/2016 6:48,3/24/2016 12:48,0.377,At CA-72/Whittier Blvd - Accident.,,San Gabriel River Fwy N,R,Whittier,CA,90606,US,US/Pacific,3/24/2016 7:48,53.6,51,30.12,10,,Clear
1342,A-5371,2,3/24/2016 7:20,3/24/2016 13:20,0.26,At CA-42/Firestone Blvd - Accident. Left lane blocked.,,San Gabriel River Fwy N,R,Norwalk,CA,90650,US,US/Pacific,3/24/2016 6:53,50,61,30.09,10,,Clear
1343,A-5375,2,3/24/2016 7:25,3/24/2016 13:25,0,At Central Ave - Accident. Left lane blocked.,,Pomona Fwy E,R,Chino,CA,91710,US,US/Pacific,3/24/2016 7:53,52,54,30.12,10,,Clear
1344,A-5379,2,3/24/2016 8:38,3/24/2016 14:38,0.126,At CA-213/Western Ave/Exit 38B - Accident.,,I-405 N,R,Gardena,CA,90248,US,US/Pacific,3/24/2016 8:53,64.9,29,30.1,10,,Clear
1345,A-5383,2,3/24/2016 8:47,3/24/2016 14:47,0.263,At Citrus Ave - Accident.,,Foothill Fwy E,R,Azusa,CA,91702,US,US/Pacific,3/24/2016 8:56,62.6,32,30.12,10,,Clear
1346,A-5387,2,3/24/2016 11:00,3/24/2016 17:00,0,At Orange Ave/E 32nd St/Exit 29C - Accident.,,San Diego Fwy S,R,Signal Hill,CA,90755,US,US/Pacific,3/24/2016 10:53,73,23,30.09,10,,Clear
1347,A-5391,2,3/24/2016 12:36,3/24/2016 18:36,0.02,At Cesar E Chavez Ave/Exit 135B - Accident.,,I-5 N,R,Los Angeles,CA,90033,US,US/Pacific,3/24/2016 12:47,80.1,19,30.04,10,,Clear
1348,A-5395,2,3/24/2016 13:23,3/24/2016 19:23,0.499,At Irwindale Ave - Accident.,,Foothill Fwy E,R,Baldwin Park,CA,91706,US,US/Pacific,3/24/2016 13:45,80.6,13,30.04,10,,Clear
1349,A-5399,2,3/24/2016 13:47,3/24/2016 19:47,0.388,At CA-94/MLK Jr Fwy/17th St - Accident.,953, 17th St,R,San Diego,CA,92101,US,US/Pacific,3/24/2016 13:51,72,29,30.05,10,,Clear
1350,A-5403,2,3/24/2016 14:06,3/24/2016 20:06,0.403,At Avenue S - Accident.,,CA-14 N,R,Palmdale,CA,93551,US,US/Pacific,3/24/2016 13:53,70,14,30.09,10,,Clear
1351,A-5407,2,3/24/2016 14:55,3/24/2016 20:55,0.372,At Burbank Blvd/Exit 146B - Accident.,,Golden State Fwy S,R,Burbank,CA,91504,US,US/Pacific,3/24/2016 14:53,80.1,14,29.96,10,,Clear
1352,A-5411,4,3/24/2016 15:26,3/24/2016 21:26,1.069,Closed at Adamson Flat/Francisco Ranch Rd - Road closed due to accident.,3729, Malibu Canyon Rd,L,Malibu,CA,90265-5195,US,US/Pacific,3/24/2016 15:51,69.1,36,30,10,,Clear
1353,A-5415,2,3/24/2016 17:04,3/24/2016 23:04,0.943,Between Orangethorpe Ave and Carmenita Rd - Accident.,,Orangethorpe Ave,R,La Palma,CA,90623,US,US/Pacific,3/24/2016 16:58,79.2,14,29.96,10,,Clear
1354,A-5419,2,3/24/2016 17:37,3/24/2016 23:37,0.364,At Wheatland Ave - Accident.,,Foothill Fwy E,R,Sylmar,CA,91342,US,US/Pacific,3/24/2016 17:47,78.8,18,29.98,10,,Clear
1355,A-5423,3,3/24/2016 19:02,3/25/2016 1:02,0.31,Ramp to San Gabriel River Fwy - Accident.,,I-405 N,R,Los Alamitos,CA,90720,US,US/Pacific,3/24/2016 18:58,67.3,38,29.96,10,,Clear
1356,A-5427,3,3/24/2016 22:45,3/25/2016 4:45,0.067,At Arrowbear Dr - Accident.,32071, Holiday Ln,R,Running Springs,CA,92382,US,US/Pacific,3/24/2016 20:48,,,29.98,10,,Clear
1357,A-5431,2,3/25/2016 11:43,3/25/2016 17:43,0.408,At CA-90/Imperial Hwy - Accident. Left lane blocked.,,CA-91 W,R,Anaheim,CA,92807,US,US/Pacific,3/25/2016 11:53,75,26,29.88,10,,Clear
1358,A-5435,2,3/25/2016 12:22,3/25/2016 18:22,0.1,At Paramount Blvd/Exit 126A - Accident. Left lane blocked.,,I-5 N,R,Downey,CA,90240,US,US/Pacific,3/25/2016 12:47,75,43,29.86,10,,Clear
1359,A-5439,3,3/25/2016 12:24,3/25/2016 18:24,0.477,At Euclid St - Accident.,,CA-91 W,R,Fullerton,CA,92832,US,US/Pacific,3/25/2016 12:53,77,30,29.86,10,,Clear
1360,A-5443,2,3/25/2016 12:50,3/25/2016 18:50,0.47,At Weir Canyon Rd/Yorba Linda Blvd - Accident. Left lane blocked.,,CA-91 W,R,Anaheim,CA,92808,US,US/Pacific,3/25/2016 12:56,78.1,25,29.89,10,,Clear
1361,A-5447,2,3/25/2016 13:02,3/25/2016 19:02,0.786,At CA-60 - Accident.,,Ontario Fwy S,R,Mira Loma,CA,91752,US,US/Pacific,3/25/2016 12:53,78.1,19,29.83,10,,Mostly Cloudy
1362,A-5451,2,3/25/2016 13:52,3/25/2016 19:52,0.129,At CA-19/Rosemead Blvd/Exit 26B - Accident.,,I-10 W,R,El Monte,CA,91731,US,US/Pacific,3/25/2016 14:45,80.6,23,29.83,10,,Clear
1363,A-5455,2,3/25/2016 14:14,3/25/2016 20:14,0.193,At Camino Capistrano/Exit 81 - Accident.,,San Diego Fwy S,R,San Juan Capistrano,CA,92675,US,US/Pacific,3/25/2016 13:53,71.1,45,29.86,10,,Scattered Clouds
1364,A-5459,2,3/25/2016 14:31,3/25/2016 20:31,0.432,Between La Jolla Pky/Ardath Rd/Exit 26A and CA-52/Exit 26B - Accident.,,I-5 N,R,La Jolla,CA,92037,US,US/Pacific,3/25/2016 14:53,75.9,19,29.83,10,,Clear
1365,A-5463,2,3/25/2016 15:04,3/25/2016 21:04,0.226,At Magic Mountain Pky - Accident.,,Golden State Fwy S,R,Valencia,CA,91355,US,US/Pacific,3/25/2016 14:51,81,23,28.96,10,0,Fair
1366,A-5467,2,3/25/2016 15:29,3/25/2016 21:29,0,At Atlantic Blvd - Accident.,672, S Atlantic Blvd,L,Los Angeles,CA,90022-3212,US,US/Pacific,3/25/2016 15:47,73,34,29.79,10,,Clear
1367,A-5471,2,3/25/2016 15:41,3/25/2016 21:41,27.639,Between Kelbaker Rd and Crucero Rd - Accident.,,I-40 W,R,Amboy,CA,92304,US,US/Pacific,3/25/2016 15:56,79,9,29.76,10,,Clear
1368,A-5475,2,3/25/2016 15:46,3/25/2016 21:46,3.84,Between Cook St/Exit 134 and Washington St/Exit 137 - Accident.,,I-10 E,R,Thousand Palms,CA,92276,US,US/Pacific,3/25/2016 15:53,90,9,29.71,10,,Clear
1369,A-5479,2,3/25/2016 16:40,3/25/2016 22:40,0.34,At 6th St/Exit 79 - Accident.,,I-10 W,R,Redlands,CA,92374,US,US/Pacific,3/25/2016 16:50,,,29.78,10,,Partly Cloudy
1370,A-5483,2,3/25/2016 17:12,3/25/2016 23:12,0.391,At Rancho Conejo/Exit 47 - Accident.,,Ventura Fwy S,R,Newbury Park,CA,91320,US,US/Pacific,3/25/2016 16:55,71.1,51,29.8,10,,Clear
1371,A-5487,2,3/25/2016 17:33,3/25/2016 23:33,0.447,At Roxford St - Accident.,,Foothill Fwy W,R,Sylmar,CA,91342,US,US/Pacific,3/25/2016 16:47,77,26,29.81,10,,Clear
1372,A-5491,2,3/25/2016 17:49,3/25/2016 23:49,0.809,Between Nauman Rd and CA-1/Oxnard Blvd - Accident.,,Pacific Coast Hwy N,R,Oxnard,CA,93033,US,US/Pacific,3/25/2016 17:51,64.9,70,29.76,8,,Clear
1373,A-5495,2,3/25/2016 18:10,3/26/2016 0:10,0.448,At Sierra Madre/San Gabriel Blvd - Accident.,,N Altadena Dr,R,Pasadena,CA,91107,US,US/Pacific,,,,,,,
1374,A-5499,2,3/25/2016 18:48,3/26/2016 0:48,0.737,Between Sepulveda Blvd/Exit 63A and at Ventura Blvd/Exit 63A - Accident.,,I-405 N,R,Sherman Oaks,CA,91403,US,US/Pacific,3/25/2016 18:51,75,18,29.74,10,,Clear
1375,A-5503,2,3/25/2016 19:36,3/26/2016 1:36,0.349,At Santa Anita Ave - Accident.,,Foothill Fwy E,R,Arcadia,CA,91007,US,US/Pacific,3/25/2016 18:47,73.4,29,29.79,10,,Clear
1376,A-5507,2,3/25/2016 20:11,3/26/2016 2:30,0.796,At Harper Lake Rd/Helendale Rd - Accident.,17012, State Highway 58,L,Hinkley,CA,92347,US,US/Pacific,3/25/2016 19:50,72,18,29.72,10,,Clear
1377,A-5511,4,3/26/2016 2:46,3/26/2016 8:46,0.286,Closed at El Centro - Road closed due to accident.,763, W Highway 98,L,Calexico,CA,92231,US,US/Pacific,3/26/2016 2:53,63,33,29.68,10,,Clear
